ensmbl
TRIM63,ENSG00000158022
SPTBN1,ENSG00000115306
PTAR1,ENSG00000188647
EEF1A2,ENSG00000101210
AHDC1,ENSG00000126705
NUCB2,ENSG00000070081
LYPD1,ENSG00000150551
PPARG,ENSG00000132170
KIF20A,ENSG00000112984
AP1B1,ENSG00000100280
NUF2,ENSG00000143228
S100PBP,ENSG00000116497
WIPF3,ENSG00000122574
OS9,ENSG00000135506
A2M,ENSG00000175899
BIRC6,ENSG00000115760
GMFG,ENSG00000130755
C14orf132,ENSG00000227051
PPP1R18,ENSG00000146112
HMOX2,ENSG00000103415
FAM43A,ENSG00000185112
DOCK8,ENSG00000107099
PCDH8,ENSG00000136099
ATXN1,ENSG00000124788
LINC00265,ENSG00000188185
IGFBP7-AS1,ENSG00000245067
TNFRSF1B,ENSG00000028137
LPGAT1,ENSG00000123684
ADGRA2,ENSG00000020181
FBLN1,ENSG00000077942
VEGFA,ENSG00000112715
DNAH17,ENSG00000187775
CDK19,ENSG00000155111
MAP2K3,ENSG00000034152
DNAJC18,ENSG00000170464
S100A11,ENSG00000163191
RNASET2,ENSG00000026297
PNP,ENSG00000198805
BTBD9,ENSG00000183826
AK4,ENSG00000162433
ALDOC,ENSG00000109107
LY9,ENSG00000122224
INPP5F,ENSG00000198825
CABP1,ENSG00000157782
SOCS6,ENSG00000170677
SLC3A2,ENSG00000168003
NECAB1,ENSG00000123119
SNCG,ENSG00000173267
UBAP1L,ENSG00000246922
ABHD5,ENSG00000011198
ZRSR2,ENSG00000169249
STON2,ENSG00000140022
MAVS,ENSG00000088888
MFSD6,ENSG00000151690
TRIM56,ENSG00000169871
FAM111B,ENSG00000189057
GAD1,ENSG00000128683
HSH2D,ENSG00000196684
NREP,ENSG00000134986
LINC01088,ENSG00000249307
XIST,ENSG00000229807
CRIP2,ENSG00000182809
APOBEC3D,ENSG00000243811
CTDSP2,ENSG00000175215
PCDH7,ENSG00000169851
NCAM2,ENSG00000154654
SPRY4,ENSG00000187678
DHRS3,ENSG00000162496
LRRC39,ENSG00000122477
EIF4E3,ENSG00000163412
CAHM,ENSG00000270419
KLHL35,ENSG00000149243
SNUPN,ENSG00000169371
SOX6,ENSG00000110693
AC069363.1,ENSG00000277089
SORBS1,ENSG00000095637
OAS1,ENSG00000089127
GSTM1,ENSG00000134184
CIITA,ENSG00000179583
SLC38A2,ENSG00000134294
ISG20,ENSG00000172183
FAM181B,ENSG00000182103
TOX,ENSG00000198846
LXN,ENSG00000079257
CDH11,ENSG00000140937
KCND3,ENSG00000171385
RAB33A,ENSG00000134594
STMN2,ENSG00000104435
LUZP2,ENSG00000187398
CNDP1,ENSG00000150656
MT1M,ENSG00000205364
SAPCD2,ENSG00000186193
GPR155,ENSG00000163328
PBX4,ENSG00000105717
LCAT,ENSG00000213398
ZMYM2,ENSG00000121741
ITPKB,ENSG00000143772
C3orf14,ENSG00000114405
NEXN,ENSG00000162614
CNTNAP2,ENSG00000174469
NUDT12,ENSG00000112874
CKAP2L,ENSG00000169607
RIC3,ENSG00000166405
ACAT2,ENSG00000120437
MAP7,ENSG00000135525
LINC00954,ENSG00000228784
PCDH9,ENSG00000184226
SRCIN1,ENSG00000273608
RNF122,ENSG00000133874
TSHZ2,ENSG00000182463
SPC25,ENSG00000152253
BCAS1,ENSG00000064787
PALD1,ENSG00000107719
HSD11B1,ENSG00000117594
CDKN1C,ENSG00000129757
LOX,ENSG00000113083
NEUROD1,ENSG00000162992
PTCH2,ENSG00000117425
AP3M2,ENSG00000070718
MTMR10,ENSG00000166912
RARRES2,ENSG00000106538
RP11-332H14.2,ENSG00000272994
FAIM2,ENSG00000135472
GRIP2,ENSG00000144596
ZCCHC2,ENSG00000141664
ANXA6,ENSG00000197043
STMN1,ENSG00000117632
CAMK2N1,ENSG00000162545
NCKAP1L,ENSG00000123338
ZCCHC10,ENSG00000155329
SNX30,ENSG00000148158
NUAK2,ENSG00000163545
VSTM2B,ENSG00000187135
RASSF5,ENSG00000266094
ELN,ENSG00000049540
ZNF765,ENSG00000196417
TNS2,ENSG00000111077
NPR2,ENSG00000159899
ERO1B,ENSG00000086619
IRAK3,ENSG00000090376
ARHGAP29,ENSG00000137962
ZNF652,ENSG00000198740
ENPP5,ENSG00000112796
GMPR,ENSG00000137198
AKNA,ENSG00000106948
LPL,ENSG00000175445
NABP1,ENSG00000173559
TWIST1,ENSG00000122691
RECQL,ENSG00000004700
ZC3HAV1,ENSG00000105939
JAM2,ENSG00000154721
ITFG2,ENSG00000111203
FAM133A,ENSG00000179083
APOBEC3A,ENSG00000128383
KCNA2,ENSG00000177301
KLF4,ENSG00000136826
RAB3GAP2,ENSG00000118873
MIR219A2,ENSG00000207955
CLU,ENSG00000120885
ID3,ENSG00000117318
STOM,ENSG00000148175
DGKG,ENSG00000058866
COL22A1,ENSG00000169436
CCDC71L,ENSG00000253276
SLC6A6,ENSG00000131389
LDLRAD4,ENSG00000168675
RFTN1,ENSG00000131378
BNIP3,ENSG00000176171
SLC7A8,ENSG00000092068
TRIM22,ENSG00000132274
MXI1,ENSG00000119950
ADAM22,ENSG00000008277
NMI,ENSG00000123609
CCDC80,ENSG00000091986
MAPK10,ENSG00000109339
ZNF462,ENSG00000148143
H19,ENSG00000130600
CPB2-AS1,ENSG00000235903
LIPA,ENSG00000107798
ZADH2,ENSG00000180011
GSE1,ENSG00000131149
MCM3,ENSG00000112118
PATJ,ENSG00000132849
COL5A3,ENSG00000080573
RP11-796E2.4,ENSG00000245904
PYCARD,ENSG00000103490
RASL12,ENSG00000103710
DNAAF1,ENSG00000154099
PAN2,ENSG00000135473
HSPA7,ENSG00000225217
DLG1,ENSG00000075711
ITGA3,ENSG00000005884
ATP1A3,ENSG00000105409
TRIM47,ENSG00000132481
ONECUT2,ENSG00000119547
TMEM158,ENSG00000249992
LRP4,ENSG00000134569
ZNF439,ENSG00000171291
ADAL,ENSG00000168803
USP18,ENSG00000184979
ENTPD3-AS1,ENSG00000223797
KLHL24,ENSG00000114796
CALCOCO1,ENSG00000012822
AREL1,ENSG00000119682
DNM3,ENSG00000197959
ZFP90,ENSG00000184939
MTA3,ENSG00000057935
RP11-809C18.3,ENSG00000225140
GJC1,ENSG00000182963
NRGN,ENSG00000154146
MAGEH1,ENSG00000187601
RAB40B,ENSG00000141542
MEST,ENSG00000106484
COL28A1,ENSG00000215018
TUBB2B,ENSG00000137285
NPAS4,ENSG00000174576
IFNGR1,ENSG00000027697
TTN,ENSG00000155657
SPRY2,ENSG00000136158
CCNA2,ENSG00000145386
STK4,ENSG00000101109
FMNL1,ENSG00000184922
CHRDL1,ENSG00000101938
TRIM66,ENSG00000166436
CRYAB,ENSG00000109846
CNOT6L,ENSG00000138767
PPP2R5C,ENSG00000078304
TMEM98,ENSG00000006042
DMTF1,ENSG00000135164
FILIP1,ENSG00000118407
CYSTM1,ENSG00000120306
KIF5C,ENSG00000168280
RASGEF1B,ENSG00000138670
AEBP1,ENSG00000106624
ENG,ENSG00000106991
KIF21B,ENSG00000116852
IRS2,ENSG00000185950
UNC80,ENSG00000144406
TNFSF4,ENSG00000117586
ZNF165,ENSG00000197279
FNBP1,ENSG00000187239
JAM3,ENSG00000166086
POLD3,ENSG00000077514
SASH1,ENSG00000111961
COLGALT2,ENSG00000198756
SCN1B,ENSG00000105711
EXO5,ENSG00000164002
HSPA1B,ENSG00000204388
YPEL2,ENSG00000175155
ZNF133,ENSG00000125846
RAB30,ENSG00000137502
NFIL3,ENSG00000165030
IKZF4,ENSG00000123411
MYBL2,ENSG00000101057
NFE2,ENSG00000123405
ITPR2,ENSG00000123104
PIK3AP1,ENSG00000155629
TLN2,ENSG00000171914
PEG3,ENSG00000198300
TTC7A,ENSG00000068724
GLIS3,ENSG00000107249
RP4-613B23.1,ENSG00000230084
AASDH,ENSG00000157426
CAPN3,ENSG00000092529
PDE8A,ENSG00000073417
INTS1,ENSG00000164880
SLCO2B1,ENSG00000137491
KNOP1,ENSG00000103550
PLPPR1,ENSG00000148123
ZNF28,ENSG00000198538
CRTAC1,ENSG00000095713
APC2,ENSG00000115266
TMEM119,ENSG00000183160
METTL22,ENSG00000067365
CEP78,ENSG00000148019
GATA3,ENSG00000107485
PLXNC1,ENSG00000136040
HES6,ENSG00000144485
DPEP1,ENSG00000015413
NBAS,ENSG00000151779
MMRN2,ENSG00000173269
MSMO1,ENSG00000052802
RP11-356J5.12,ENSG00000250303
RNF152,ENSG00000176641
PRKX,ENSG00000183943
DCP1B,ENSG00000151065
CCER2,ENSG00000262484
DGKA,ENSG00000065357
PCNA,ENSG00000132646
GPRASP1,ENSG00000198932
ZNF445,ENSG00000185219
SHTN1,ENSG00000187164
L3MBTL3,ENSG00000198945
UBA7,ENSG00000182179
TBC1D4,ENSG00000136111
SENP7,ENSG00000138468
SLC25A37,ENSG00000147454
WHRN,ENSG00000095397
NSG1,ENSG00000168824
FSTL3,ENSG00000070404
TUBB6,ENSG00000176014
GRIN2A,ENSG00000183454
MEF2D,ENSG00000116604
TBX19,ENSG00000143178
GSTM2,ENSG00000213366
HLA-E,ENSG00000204592
TNIK,ENSG00000154310
PLCL1,ENSG00000115896
NLRP3,ENSG00000162711
MYADM,ENSG00000179820
USF3,ENSG00000176542
ATL1,ENSG00000198513
TPD52L1,ENSG00000111907
NAPRT,ENSG00000147813
ANGPT2,ENSG00000091879
EBF1,ENSG00000164330
LRRC17,ENSG00000128606
MCM6,ENSG00000076003
PLEKHG1,ENSG00000120278
AARSD1,ENSG00000266967
ART3,ENSG00000156219
LIFR,ENSG00000113594
CYP2R1,ENSG00000186104
WDR43,ENSG00000163811
PRIM1,ENSG00000198056
CPT1B,ENSG00000205560
PIP4K2A,ENSG00000150867
ZZEF1,ENSG00000074755
COL16A1,ENSG00000084636
NDN,ENSG00000182636
NUSAP1,ENSG00000137804
MIR4435-2HG,ENSG00000172965
CYFIP1,ENSG00000273749
DNAL1,ENSG00000119661
S100A2,ENSG00000196754
FST,ENSG00000134363
ST3GAL5,ENSG00000115525
DUSP2,ENSG00000158050
ITM2A,ENSG00000078596
C5AR2,ENSG00000134830
GLIPR1L2,ENSG00000180481
HMGN5,ENSG00000198157
ZNF292,ENSG00000188994
KLHL41,ENSG00000239474
DGKE,ENSG00000153933
SPRYD4,ENSG00000176422
FGFR2,ENSG00000066468
TPM1,ENSG00000140416
ELL2,ENSG00000118985
DCAF16,ENSG00000163257
LARP1B,ENSG00000138709
ZNF512,ENSG00000243943
CDC42EP1,ENSG00000128283
DAPK1,ENSG00000196730
LRRC75A,ENSG00000181350
RREB1,ENSG00000124782
NR4A1,ENSG00000123358
TCF4,ENSG00000196628
ASPH,ENSG00000198363
XAF1,ENSG00000132530
ATG16L2,ENSG00000168010
SMIM3,ENSG00000256235
KDM5B,ENSG00000117139
USP54,ENSG00000166348
ZFPM2,ENSG00000169946
CDKN1A,ENSG00000124762
ZNF793,ENSG00000188227
HEPACAM,ENSG00000165478
SP4,ENSG00000105866
NMB,ENSG00000197696
TLR4,ENSG00000136869
PSMC3IP,ENSG00000131470
ARHGAP11B,ENSG00000187951
SH3BP4,ENSG00000130147
GLUL,ENSG00000135821
SUMF2,ENSG00000129103
LYAR,ENSG00000145220
IRF9,ENSG00000213928
SORL1,ENSG00000137642
LAT2,ENSG00000086730
MAP3K8,ENSG00000107968
PAK1IP1,ENSG00000111845
CDCP1,ENSG00000163814
S1PR1,ENSG00000170989
NFAT5,ENSG00000102908
COL9A1,ENSG00000112280
HILPDA,ENSG00000135245
TRAPPC6B,ENSG00000182400
AVIL,ENSG00000135407
DHRS1,ENSG00000157379
GALK2,ENSG00000156958
TRNT1,ENSG00000072756
TP53INP2,ENSG00000078804
COL8A1,ENSG00000144810
TRIM38,ENSG00000112343
MBP,ENSG00000197971
IL20RB,ENSG00000174564
DNAJB9,ENSG00000128590
IL6,ENSG00000136244
FEZ1,ENSG00000149557
CAMP,ENSG00000164047
TBCC,ENSG00000124659
PDPR,ENSG00000090857
ZNF275,ENSG00000063587
ASCL1,ENSG00000139352
GPNMB,ENSG00000136235
MAP3K14,ENSG00000006062
CENPV,ENSG00000166582
EPHX2,ENSG00000120915
THEMIS2,ENSG00000130775
ARRB1,ENSG00000137486
TRPS1,ENSG00000104447
PDE3B,ENSG00000152270
DPY19L1,ENSG00000173852
THSD4,ENSG00000187720
METTL7B,ENSG00000170439
WDR47,ENSG00000085433
FAM53C,ENSG00000120709
SELPLG,ENSG00000110876
GPCPD1,ENSG00000125772
SULT1A1,ENSG00000196502
CNR1,ENSG00000118432
ODF2L,ENSG00000122417
CTNNA3,ENSG00000183230
TSTD2,ENSG00000136925
RNF157,ENSG00000141576
NPC2,ENSG00000119655
CHADL,ENSG00000100399
AK7,ENSG00000140057
NQO1,ENSG00000181019
STRN,ENSG00000115808
POLB,ENSG00000070501
NEFH,ENSG00000100285
VCAN,ENSG00000038427
HMCN2,ENSG00000148357
SLCO4A1,ENSG00000101187
KIAA0825,ENSG00000185261
AFDN,ENSG00000130396
PRR4,ENSG00000111215
RAP2B,ENSG00000181467
PBK,ENSG00000168078
ANXA2,ENSG00000182718
MTSS1,ENSG00000170873
ADGRF5,ENSG00000069122
RCBTB1,ENSG00000136144
CYB5D2,ENSG00000167740
TNC,ENSG00000041982
WRN,ENSG00000165392
CCL2,ENSG00000108691
RRP12,ENSG00000052749
LHX1,ENSG00000273706
ATP11A,ENSG00000068650
ERN1,ENSG00000178607
TNFAIP8L3,ENSG00000183578
RGPD5,ENSG00000015568
GADD45G,ENSG00000130222
NDNF,ENSG00000173376
CKS1B,ENSG00000173207
EFR3B,ENSG00000084710
DLGAP5,ENSG00000126787
C11orf96,ENSG00000187479
RAPGEF2,ENSG00000109756
LGR6,ENSG00000133067
MLLT3,ENSG00000171843
YPEL5,ENSG00000119801
TRIM52,ENSG00000183718
TSIX,ENSG00000270641
SERPINF1,ENSG00000132386
TTBK2,ENSG00000128881
DAAM1,ENSG00000100592
STARD9,ENSG00000159433
LHX2,ENSG00000106689
XXbac-BPGBPG55C20.2,ENSG00000272316
ZNF296,ENSG00000170684
CHRNA4,ENSG00000101204
FADS1,ENSG00000149485
ZDHHC22,ENSG00000177108
NAT8L,ENSG00000185818
MPP1,ENSG00000130830
SDS,ENSG00000135094
TXN,ENSG00000136810
RASAL3,ENSG00000105122
TPX2,ENSG00000088325
MYBL1,ENSG00000185697
AEN,ENSG00000181026
ANKZF1,ENSG00000163516
ST6GALNAC3,ENSG00000184005
MATN4,ENSG00000124159
PCDH12,ENSG00000113555
BCL3,ENSG00000069399
CD302,ENSG00000241399
PAQR4,ENSG00000162073
TTYH3,ENSG00000136295
PDE4D,ENSG00000113448
LINC01355,ENSG00000261326
RASGRP2,ENSG00000068831
HAVCR2,ENSG00000135077
B4GALT1,ENSG00000086062
ANLN,ENSG00000011426
CASS4,ENSG00000087589
GM2A,ENSG00000196743
BHLHE40,ENSG00000134107
MACROD2,ENSG00000172264
SQLE,ENSG00000104549
ABR,ENSG00000159842
NBEAL2,ENSG00000160796
PFN2,ENSG00000070087
KLF9,ENSG00000119138
GALM,ENSG00000143891
EPM2AIP1,ENSG00000178567
CALB1,ENSG00000104327
HERC5,ENSG00000138646
PMEPA1,ENSG00000124225
LIPG,ENSG00000101670
EMB,ENSG00000170571
DHRS2,ENSG00000100867
SLC22A23,ENSG00000137266
PGGHG,ENSG00000142102
ADAMTS10,ENSG00000142303
LRRN3,ENSG00000173114
RP11-93H24.3,ENSG00000273723
LHFPL3,ENSG00000187416
MCF2L,ENSG00000126217
ANKRD26,ENSG00000107890
SMCR8,ENSG00000176994
HMGA2,ENSG00000149948
CELF5,ENSG00000161082
ATCAY,ENSG00000167654
PYHIN1,ENSG00000163564
ZDHHC17,ENSG00000186908
PTTG1,ENSG00000164611
RABGAP1L,ENSG00000152061
KDM7A,ENSG00000006459
DTNA,ENSG00000134769
LAMA4,ENSG00000112769
ZNF488,ENSG00000265763
FEN1,ENSG00000168496
CDR1,ENSG00000184258
CKAP4,ENSG00000136026
PCGF5,ENSG00000180628
KLF10,ENSG00000155090
PLEKHA4,ENSG00000105559
RP11-160E2.6,ENSG00000262202
CARD8,ENSG00000105483
NUDT11,ENSG00000196368
OLMALINC,ENSG00000235823
ARC,ENSG00000198576
RBM33,ENSG00000184863
NCKAP5,ENSG00000176771
TRIB3,ENSG00000101255
PTCH1,ENSG00000185920
ST8SIA4,ENSG00000113532
CDKN2C,ENSG00000123080
STARD5,ENSG00000172345
NKAPL,ENSG00000189134
NPPA,ENSG00000175206
OTOA,ENSG00000155719
TCF19,ENSG00000137310
CNTN3,ENSG00000113805
BMP2K,ENSG00000138756
FCER1G,ENSG00000158869
PEG10,ENSG00000242265
CXCL14,ENSG00000145824
PCNX1,ENSG00000100731
ABHD15,ENSG00000168792
SEMA3B-AS1,ENSG00000232352
GFI1,ENSG00000162676
PXDN,ENSG00000130508
LPAR2,ENSG00000064547
NAIP,ENSG00000249437
ZNF546,ENSG00000187187
RBM4,ENSG00000173933
SAMHD1,ENSG00000101347
AGAP6,ENSG00000204149
PIF1,ENSG00000140451
SLC37A2,ENSG00000134955
MFGE8,ENSG00000140545
YPEL1,ENSG00000100027
BMPER,ENSG00000164619
TNK1,ENSG00000174292
XRCC4,ENSG00000152422
SOCS2,ENSG00000120833
LINC00706,ENSG00000281186
PART1,ENSG00000152931
DHFR,ENSG00000228716
ADD3,ENSG00000148700
CRELD1,ENSG00000163703
THY1,ENSG00000154096
TNFAIP2,ENSG00000185215
RP11-596C23.2,ENSG00000278002
AC015936.3,ENSG00000224911
CDCA7,ENSG00000144354
PTK2,ENSG00000169398
TES,ENSG00000135269
CEP164,ENSG00000110274
MT-ND3,ENSG00000198840
NUB1,ENSG00000013374
FAH,ENSG00000103876
ARL14EP,ENSG00000152219
RAB42,ENSG00000188060
RHOB,ENSG00000143878
ISLR,ENSG00000129009
STC2,ENSG00000113739
SERPINE1,ENSG00000106366
NBPF19,ENSG00000271383
SOX18,ENSG00000203883
GABPB1-AS1,ENSG00000244879
MCM4,ENSG00000104738
EXOG,ENSG00000157036
CD8A,ENSG00000153563
DDX25,ENSG00000109832
NUGGC,ENSG00000189233
NEU4,ENSG00000204099
ST3GAL1,ENSG00000008513
RRM2,ENSG00000171848
ENDOV,ENSG00000173818
DYSF,ENSG00000135636
MEIS2,ENSG00000134138
INSM1,ENSG00000173404
KCNMB4,ENSG00000135643
TTC14,ENSG00000163728
SLC16A6,ENSG00000108932
PIPOX,ENSG00000179761
FOXP2,ENSG00000128573
TLE4,ENSG00000106829
PCDHGA9,ENSG00000261934
ARHGAP21,ENSG00000107863
RIN2,ENSG00000132669
SCGB1D2,ENSG00000124935
ZBTB41,ENSG00000177888
ZNF707,ENSG00000181135
SELL,ENSG00000188404
IGSF10,ENSG00000152580
TLR3,ENSG00000164342
MAN2A1,ENSG00000112893
ANKH,ENSG00000154122
MGST2,ENSG00000085871
PITPNC1,ENSG00000154217
AMOTL2,ENSG00000114019
HMMR,ENSG00000072571
CTNNB1,ENSG00000168036
FABP7,ENSG00000164434
TUBA1C,ENSG00000167553
BCOR,ENSG00000183337
DAB2IP,ENSG00000136848
ZNF10,ENSG00000256223
SYNDIG1,ENSG00000101463
FIP1L1,ENSG00000145216
PHLDB1,ENSG00000019144
IL1R2,ENSG00000115590
FABP5,ENSG00000164687
IFIT1,ENSG00000185745
IL33,ENSG00000137033
DLL4,ENSG00000128917
CBY1,ENSG00000100211
CNTN1,ENSG00000018236
TGM2,ENSG00000198959
CPVL,ENSG00000106066
MXRA7,ENSG00000182534
PPP2R5A,ENSG00000066027
INSIG2,ENSG00000125629
LINC00467,ENSG00000153363
TK1,ENSG00000167900
TRAPPC2,ENSG00000196459
NEAT1,ENSG00000245532
MAPK8IP1,ENSG00000121653
LST1,ENSG00000204482
MAOA,ENSG00000189221
C15orf48,ENSG00000166920
PERP,ENSG00000112378
ZEB2,ENSG00000169554
NRXN2,ENSG00000110076
RDH10,ENSG00000121039
C10orf90,ENSG00000154493
CATSPER2,ENSG00000166762
CFAP126,ENSG00000188931
SIGLEC10,ENSG00000142512
GADD45A,ENSG00000116717
SH3PXD2A,ENSG00000107957
BCL6,ENSG00000113916
CSF1,ENSG00000184371
RP11-849I19.1,ENSG00000262280
FJX1,ENSG00000179431
P2RX7,ENSG00000089041
ZFP14,ENSG00000142065
SCD,ENSG00000099194
SLC18A2,ENSG00000165646
OLFML2B,ENSG00000162745
ENPP4,ENSG00000001561
CRYM,ENSG00000103316
APBA2,ENSG00000034053
GJA1,ENSG00000152661
FOSL2,ENSG00000075426
SMC4,ENSG00000113810
APCDD1,ENSG00000154856
SMAGP,ENSG00000170545
RNPC3,ENSG00000185946
HAPLN3,ENSG00000140511
TSHR,ENSG00000165409
PELI1,ENSG00000197329
NAMPT,ENSG00000105835
LRRK2,ENSG00000188906
CENPF,ENSG00000117724
RALGDS,ENSG00000160271
MYOF,ENSG00000138119
FFAR2,ENSG00000126262
PTPRN,ENSG00000054356
RGMA,ENSG00000182175
TSPYL2,ENSG00000184205
PIK3IP1,ENSG00000100100
RASL11A,ENSG00000122035
CALD1,ENSG00000122786
LMO4,ENSG00000143013
ARHGEF2,ENSG00000116584
NRN1,ENSG00000124785
TANC2,ENSG00000170921
P2RY1,ENSG00000169860
TWSG1,ENSG00000128791
TBPL1,ENSG00000028839
NR0B1,ENSG00000169297
LDLR,ENSG00000130164
CTTNBP2,ENSG00000077063
KLRG1,ENSG00000139187
JAKMIP2,ENSG00000176049
CCDC34,ENSG00000109881
MRPS31,ENSG00000102738
FKBP11,ENSG00000134285
TP53I11,ENSG00000175274
FIGNL1,ENSG00000132436
SLC26A2,ENSG00000155850
SLC6A8,ENSG00000130821
KIAA0040,ENSG00000235750
CREBRF,ENSG00000164463
DYRK2,ENSG00000127334
CCDC152,ENSG00000198865
KIF20B,ENSG00000138182
PREX2,ENSG00000046889
SLC12A5,ENSG00000124140
ABCA2,ENSG00000107331
SNAP47,ENSG00000143740
RGS16,ENSG00000143333
PROCR,ENSG00000101000
ARHGEF17,ENSG00000110237
PAQR3,ENSG00000163291
SLC6A1,ENSG00000157103
FAM124A,ENSG00000150510
NXPH4,ENSG00000182379
SYTL2,ENSG00000137501
OFD1,ENSG00000046651
GPR146,ENSG00000164849
F2R,ENSG00000181104
LIMD2,ENSG00000136490
DIP2C,ENSG00000151240
EDRF1,ENSG00000107938
MSMP,ENSG00000215183
RAB37,ENSG00000172794
CFAP52,ENSG00000166596
MLLT11,ENSG00000213190
S100A10,ENSG00000197747
CENPM,ENSG00000100162
DENND2D,ENSG00000162777
TSEN2,ENSG00000154743
TSFM,ENSG00000123297
PER1,ENSG00000179094
LINC01588,ENSG00000214900
GGA1,ENSG00000100083
PHLDA1,ENSG00000139289
HMGCS1,ENSG00000112972
PLN,ENSG00000198523
ATP13A4,ENSG00000127249
HELZ2,ENSG00000130589
MAFF,ENSG00000185022
CHD2,ENSG00000173575
METRN,ENSG00000103260
TTLL7,ENSG00000137941
HMGCR,ENSG00000113161
CFAP70,ENSG00000156042
SMYD2,ENSG00000143499
VASH1,ENSG00000071246
ZNF2,ENSG00000275111
GFPT2,ENSG00000131459
WDR11,ENSG00000120008
TMEFF2,ENSG00000144339
APOD,ENSG00000189058
KLHL21,ENSG00000162413
HOTAIRM1,ENSG00000233429
SIGLEC1,ENSG00000088827
LINC00987,ENSG00000237248
DNAH7,ENSG00000118997
ACSM5,ENSG00000183549
RP13-516M14.4,ENSG00000265692
RGS1,ENSG00000090104
CYP2J2,ENSG00000134716
MIR155HG,ENSG00000234883
RP1-313I6.12,ENSG00000272009
PPP1R14A,ENSG00000167641
EHD1,ENSG00000110047
NCAPG,ENSG00000109805
NAALADL2,ENSG00000177694
BCYRN1,ENSG00000236824
SULF2,ENSG00000196562
MINCR,ENSG00000253716
CRABP1,ENSG00000166426
SALL3,ENSG00000256463
GGT5,ENSG00000099998
RAMP2,ENSG00000131477
RAB13,ENSG00000143545
CD209,ENSG00000090659
HNMT,ENSG00000150540
EPB41,ENSG00000159023
HCLS1,ENSG00000180353
TARBP1,ENSG00000059588
RNF180,ENSG00000164197
PCF11,ENSG00000165494
PPM1N,ENSG00000213889
MAP3K7CL,ENSG00000156265
PAICS,ENSG00000128050
MTMR12,ENSG00000150712
SMYD3,ENSG00000185420
ITGA7,ENSG00000135424
LGI3,ENSG00000168481
STK17B,ENSG00000081320
TCEAL7,ENSG00000182916
IQGAP2,ENSG00000145703
DOCK7,ENSG00000116641
KLHL6,ENSG00000172578
CADM3,ENSG00000162706
COLEC12,ENSG00000158270
IFT140,ENSG00000187535
UPF2,ENSG00000151461
RBM5,ENSG00000003756
SLCO1A2,ENSG00000084453
CFI,ENSG00000205403
AFAP1,ENSG00000196526
PTPRN2,ENSG00000155093
CD74,ENSG00000019582
NIPA1,ENSG00000170113
RASSF4,ENSG00000107551
CHIT1,ENSG00000133063
SLC45A3,ENSG00000158715
RSAD2,ENSG00000134321
FLT3LG,ENSG00000090554
SPTLC2,ENSG00000100596
TYW3,ENSG00000162623
SPOCK1,ENSG00000152377
ARSG,ENSG00000141337
RAPGEF5,ENSG00000136237
NAT1,ENSG00000171428
ELAVL2,ENSG00000107105
RCSD1,ENSG00000198771
VMP1,ENSG00000062716
MEG3,ENSG00000214548
LEFTY2,ENSG00000143768
PRRT2,ENSG00000167371
HLA-B,ENSG00000206450
DUOX1,ENSG00000137857
SERPINI1,ENSG00000163536
CPE,ENSG00000109472
SKAP2,ENSG00000005020
GATM,ENSG00000171766
MT1F,ENSG00000198417
ZNF276,ENSG00000158805
TUBA1B,ENSG00000123416
EGLN3,ENSG00000129521
RP11-161M6.2,ENSG00000260807
PLD2,ENSG00000129219
DAPK2,ENSG00000035664
CXCL2,ENSG00000081041
THADA,ENSG00000115970
ASIC1,ENSG00000110881
RASGRP1,ENSG00000172575
CD83,ENSG00000112149
SPON2,ENSG00000159674
VDR,ENSG00000111424
DNAJC1,ENSG00000136770
FAM110B,ENSG00000169122
VOPP1,ENSG00000154978
C9orf135,ENSG00000204711
C12orf75,ENSG00000235162
SLC32A1,ENSG00000101438
SLC35F1,ENSG00000196376
PSTPIP1,ENSG00000140368
STAC2,ENSG00000141750
NFKBIZ,ENSG00000144802
SLC48A1,ENSG00000211584
RASL10A,ENSG00000100276
ARL4C,ENSG00000188042
CBLB,ENSG00000114423
TJP2,ENSG00000119139
APOL2,ENSG00000128335
TOP2A,ENSG00000131747
UPP1,ENSG00000183696
TMSB15A,ENSG00000158164
PARP14,ENSG00000173193
RAB3B,ENSG00000169213
GET4,ENSG00000239857
FLT1,ENSG00000102755
PIK3C2B,ENSG00000133056
GLTP,ENSG00000139433
LTBP4,ENSG00000090006
MTUS1,ENSG00000129422
RXRA,ENSG00000186350
SLC2A5,ENSG00000142583
ATF5,ENSG00000169136
STIM2,ENSG00000109689
PRRG4,ENSG00000135378
CITED4,ENSG00000179862
ZFX,ENSG00000005889
RP11-798M19.6,ENSG00000272870
STAB1,ENSG00000010327
ETS1,ENSG00000134954
ALCAM,ENSG00000170017
ECE1,ENSG00000117298
ZNF382,ENSG00000161298
ASXL2,ENSG00000143970
EPHB1,ENSG00000154928
ARHGEF3,ENSG00000163947
A2M-AS1,ENSG00000245105
ITGAL,ENSG00000005844
BTK,ENSG00000010671
CORO1A,ENSG00000102879
ENPP6,ENSG00000164303
CLDN5,ENSG00000184113
CLK4,ENSG00000113240
PHACTR1,ENSG00000112137
NXF1,ENSG00000162231
BIRC5,ENSG00000089685
PRPF39,ENSG00000185246
FNBP1L,ENSG00000137942
LHFPL2,ENSG00000145685
LAMA5,ENSG00000130702
BNC2,ENSG00000173068
PFKFB4,ENSG00000114268
ZNF556,ENSG00000172000
FAM221A,ENSG00000188732
